gap_dates,site_id
10/18/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/19/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/20/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/21/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/22/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/23/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/24/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/25/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/26/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/27/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/28/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/29/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/30/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
10/31/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/1/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/2/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/3/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/4/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/5/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/6/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/7/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/8/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/9/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/10/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/11/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/12/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/13/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/14/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/15/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/16/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/17/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/18/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/19/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/20/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/21/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/22/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/23/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/24/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/25/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/26/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/27/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/28/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/29/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
11/30/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/1/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/2/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/3/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/4/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/5/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/6/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
