month,day,hour,temp,kW
9,11,10,82.9,126.5225
9,11,11,80.1,124.97
9,11,12,84,124.01
9,11,13,84.9,122.085
9,11,14,86,121.87
9,11,15,84.9,122.2375
9,11,16,84.9,122.095
9,11,17,84,121.4625
9,11,18,84,121.5925
9,11,19,81,120.505
9,11,20,78.1,119.6675
9,11,21,78.1,119.23
9,11,22,75.9,119.455
9,11,23,73.9,118.775
9,11,24,73.9,115.2125
9,12,1,70,110.82
9,12,2,70,76.2925
9,12,3,71.1,74.615
9,12,4,70,74.5375
9,12,5,68,73.5875
9,12,6,68,74.1725
9,12,7,66.9,74.725
9,12,8,68,75.645
9,12,9,71.1,136.355
9,12,10,73.9,126.03
9,12,11,77,127.29
9,12,12,79,128.42
9,12,13,81,129.2
9,12,14,84,130.775
9,12,15,84.9,130.9
9,12,16,82,130.2925
9,12,17,82.9,129.3125
9,12,18,82,129.59
9,12,19,80.1,125.945
9,12,20,77.67,123.29
9,12,21,75.9,120.255
9,12,22,73.9,119.025
9,12,23,73,118.1525
9,12,24,72,119.1775
9,13,1,72,119.7675
9,13,2,71.1,119.8975
9,13,3,71.1,119.9375
9,13,4,71.1,119.695
9,13,5,70,119.995
9,13,6,70,120.1625
9,13,7,70,120.86
9,13,8,71.1,122.6725
9,13,9,75,127.1825
9,13,10,77,130.955
9,13,11,80.1,133.055
9,13,12,84,134.22
9,13,13,86,136.3225
9,13,14,88,137.0275
9,13,15,88,135.0575
9,13,16,88,137.9425
9,13,17,87.1,137.02
9,13,18,86,135.49
9,13,19,84,133.99
9,13,20,82,132.075
9,13,21,78.1,129.7475
9,13,22,77,127.0925
9,13,23,75.9,124.8875
9,13,24,75,124.2975
9,14,1,73.9,124.535
9,14,2,73,123.14
9,14,3,72,121.9125
9,14,4,72,121.39
9,14,5,70,120.6625
9,14,6,70,120.8725
9,14,7,70,122.165
9,14,8,72,123.6
9,14,9,77,125.31
9,14,10,78.1,129.23
9,14,11,82,132.46
9,14,12,89.1,134.7125
9,14,13,91.9,136.34
9,14,14,91.9,136.745
9,14,15,93.9,137.9125
9,14,16,95,136.53
9,14,17,93.9,134.585
9,14,18,91.9,131.9575
9,14,19,89.1,129.2975
9,14,20,84.9,128.2725
9,14,21,81,126.02
9,14,22,81,124.735
9,14,23,79,121.755
9,14,24,79,121.8575
9,15,1,77,121.255
9,15,2,75.9,121.6575
9,15,3,75,120.71
9,15,4,73.9,120.725
9,15,5,73,118.925
